Ababyeyi babo bamaze gupfa basogokuru barabareze. 	After their parents died their grandparents raised them.
Waba uzi umubare wabantu bitabiriye kubyina icyumweru gishize? 	Do you know the number of people who attended the dance last week?
Jya kuryama Ugomba kubyuka kare ejo mugitondo. 	Go to bed You have to wake up early tomorrow morning.
Nzasimbuza igihe cyatakaye nkora uko nshoboye. 	I will replace the lost time by doing my best.
Ngomba kumanika nonaha. Umuntu ategereje gukoresha terefone. 	I have to hang up now. Someone is waiting to use the phone.
Niba imiti idakora birashoboka ko tugomba kubarega	If the medication does not work we may need to accuse them
nubwo wagenda vuba gute ntushobora kumufata	No matter how fast you go you can't catch him.
telefone yari yongeye gusona	the phone was ringing again.
Umaze kubona uburyohe bwo gukina urusimbi biragoye kubireka. 	Once you get the taste of gambling it's hard to give up.
Umwarimu wacu yararakaye kubera ko james yakinaga mu ishuri. 	Our teacher was angry because jameswas playing in class.
Abantu baryama kare bakabyuka kare babaho igihe kirekire. 	People who go to bed early and wake up early live longer.
Rosa Parks yanze kuhaguruka	Rosa Park refuses to stand up
Yitegereje ikinyamakuru mugihe ategereje ko itariki ye igaragara.	He looked at the magazine as he waited for his date to appear.
Icyiciro cyari kinini cyane kuburyo twigabanyijemo amatsinda abiri mato. 	The phase was so large that we divided it into two small groups.
Muganga yangiriye inama yo gukora siporo kugirango ngume mumiterere. 	The doctor advised me to exercise to stay in shape.
Amayobera yerekeye urupfu rwe yakinnye n’itangazamakuru.	The mystery of his death was played out by the media.
Ntawabwira uko byagenda aramutse atagaragaye. 	No one can tell what would happen if he did not show up.
Ndimbati na anet bahaguruka ku ntebe zabo berekeza ku muryango. 	Ndimbati and anet get up from their chairs and head for the door.
Ndimbati yarangije kugira ubutwari bwo gusaba anet kumurongora. 	Ndimbati has finally had the courage to ask anet to marry her.
Ndimbati yazimiye mu ishyamba arangirira mu gikari cy'umuntu	Ndimbati disappeared into the forest and ended up in a man's yard
Ndimbati yavuze ko atazi impamvu anet yashakaga gutandukana na we. 	Ndimbati said he did not know why Anet wanted to break up with him.
Hindura amajwi hejuru kugirango abanyeshuri bari inyuma bumve. 	Turn the volume up so that the students in the back can hear.
Kugeza muminsi itatu ishize sinigeze numva na jackson	Until the last three days I had never heard of jackson
Umufuka wa pulasitike urashobora gufata imyaka igihumbi kugirango usenyuke. )	A plastic bag can take a thousand years to break down. )
Igihe cyose azamutse i Tokiyo ntajya ananirwa kumpamagara. 	Whenever he goes to Tokyo he never fails to call me.
Yaretse kwitabira marato kubera ubukonje bwe. 	He stopped participating in the marathon because of his cold.
Yakuye itabi mu ivu arahaguruka ngo agende. 	He took the cigarette from the ashes and got up to leave.
Ndangije ntabishaka ngerageza gukira 	I ended up unwillingly trying to recover 
Numvise ijwi ryose Ryo kuri terefone. 	I heard all the rings on the phone.
Nabyutse kare kugirango nshobore kuba mugihe cya gari ya moshi ya mbere. 	I woke up early so I could be in the time of the first train.
Nzasimbuza igihe cyatakaye niga uko nshoboye. 	I will replace the lost time and learn as much as I can.
Niba ngomba gutinda kugera murugo nyamuneka ntuntegereze. 	If I have to wait until I get home please don't wait.
Ahantu heza ho kwiyandikisha mumasomo yindimi zamahanga? 	A good place to enroll in foreign language courses?
Ni wowe ugomba kureba niba ibintu nkibi bitabaho. 	It is up to you to decide if such a thing does happen.
Nkurikije ibyo yambwiye ibitekerezo bye bisa nkaho byafashwe. 	From what he told me his thoughts seemed to have been taken.
anet yifungiye mu cyumba amadirishya yose arayafunga. 	the anet is locked herself in the room all the windows are closed.
Murumuna wanjye na mushiki wanjye babyuka nka mirongo irindwi na mirongo itatu buri gitondo. 	My brother and sister wake up at about seventy-three every morning.
Umuhungu wanjye yarantunguye atunganya icyumba cye atabibwiwe.	My son surprised me by tidying up his room without being told.
Ntabwo yashoboye kureka burundu ibyiringiro bye byo kumurongora. 	She could not give up her hopes of marrying him.
Amafaranga Chris atishyuye yiyongera kumafaranga menshi. 	Chris's unpaid wages are high.
Ikigo cyabanyeshuri ni ahantu heza ho gutangiza ibiganiro. 	The student center is a great place to start a conversation.
Umusaruro mwiza wuyu mwaka uzuzuza uwumwaka ushize. 	This year's good results will complement last year's.
Ndimbati ashobora kubona uburyo abikoramo	Ndimbati can see how he does it
